1:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
3:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
4:中国采招网        4001-6000
2019:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
2020:软件销售        厦门安妮股份有限公司        8001-10000
2021:软件工程师        北京慧清科技有限公司        12000-20000
2022:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2023:软件开发项目经理        北京店帮科技有限公司        10001-15000
2024:软件工程师        北京起鹏科技发展有限公司        10001-15000
2025:软件工程师        北京兆维科技开发有限公司        10000-20000
2026:软件测试工程师        北京万里红科技股份有限公司        5000-10000
2027:软件工程师        北京泰和利通科技有限公司        10000-20000
2028:软件工程师        北京医模科技股份有限公司        10001-15000
2029:软件项目经理        北京双旗世纪科技有限公司        15001-20000
2030:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
2031:软件开发工程师        北京固鸿科技有限公司        10000-20000
2032:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
2033:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
2034:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
2035:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
2036:软件开发工程师        北京万里红科技股份有限公司        6000-12000
2037:软件区域销售        北京华思维信息技术有限公司        5000-10000
2038:软件工程师        北京安怀信科技股份有限公司        10001-15000
2039:软件工程师        沈阳东软医疗系统有限公司        15001-20000
2040:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
2041:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2042:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
2043:软件工程师        北京辉大科技发展有限公司        8000-16000
2044:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
2045:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
2046:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
2047:软件销售经理        北京可维创业科技有限公司        6000-12000
2048:软件测试工程师        北京华夏电通科技有限公司        8000-15000
2049:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
2050:软件客户代表        北京世纪兆元科技有限公司        10001-15000
2051:软件销售        挚友诚达科技(北京)有限公司        6001-8000
2052:软件工程师        北京汇金科技有限责任公司        9000-13000
2053:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
2054:软件工程师        北京远大创新科技有限公司        8000-12000
2055:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
2056:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
2057:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2058:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
2059:中国采招网        4001-6000
2060:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
2061:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
2062:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
2063:软件工程师        北京华开领航科技有限责任公司        15000-20000
2064:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
2065:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
2066:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
2067:软件工程师        北京华开领航科技有限责任公司        10000-15000
2068:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
2069:软件开发工程师        北京北变微电网技术有限公司        7000-9000
2070:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
2071:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
2072:软件测试工程师        北京万里红科技股份有限公司        6000-12000
2073:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
2074:软件工程师        北京慧清科技有限公司        12000-20000
2075:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
2076:软件工程师        北京优尔博特创新科技有限公司        15001-20000
2077:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
2078:软件开发工程师        北京天元特通科技有限公司        10001-15000
2079:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
2080:软件销售        厦门安妮股份有限公司        8001-10000
2081:软件工程师        北京慧清科技有限公司        12000-20000
2082:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2083:软件开发项目经理        北京店帮科技有限公司        10001-15000
2084:软件工程师        北京起鹏科技发展有限公司        10001-15000
2085:软件工程师        北京兆维科技开发有限公司        10000-20000
2086:软件测试工程师        北京万里红科技股份有限公司        5000-10000
2087:软件工程师        北京泰和利通科技有限公司        10000-20000
2088:软件工程师        北京医模科技股份有限公司        10001-15000
2089:软件项目经理        北京双旗世纪科技有限公司        15001-20000
2090:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
2091:软件开发工程师        北京固鸿科技有限公司        10000-20000
2092:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
2093:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
2094:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
2095:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
2096:软件开发工程师        北京万里红科技股份有限公司        6000-12000
2097:软件区域销售        北京华思维信息技术有限公司        5000-10000
2098:软件工程师        北京安怀信科技股份有限公司        10001-15000
2099:软件工程师        沈阳东软医疗系统有限公司        15001-20000
2100:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
2101:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2102:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
2103:软件工程师        北京辉大科技发展有限公司        8000-16000
2104:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
2105:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
2106:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
2107:软件销售经理        北京可维创业科技有限公司        6000-12000
2108:软件测试工程师        北京华夏电通科技有限公司        8000-15000
2109:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
2110:软件客户代表        北京世纪兆元科技有限公司        10001-15000
2111:软件销售        挚友诚达科技(北京)有限公司        6001-8000
2112:软件工程师        北京汇金科技有限责任公司        9000-13000
2113:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
2114:软件工程师        北京远大创新科技有限公司        8000-12000
2115:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
2116:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
2117:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2118:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
2119:中国采招网        4001-6000
2120:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
2121:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
2122:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
2123:软件工程师        北京华开领航科技有限责任公司        15000-20000
2124:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
2125:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
2126:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
2127:软件工程师        北京华开领航科技有限责任公司        10000-15000
2128:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
2129:软件开发工程师        北京北变微电网技术有限公司        7000-9000
2130:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
2131:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
2132:软件测试工程师        北京万里红科技股份有限公司        6000-12000
2133:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
2134:软件工程师        北京慧清科技有限公司        12000-20000
2135:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
2136:软件工程师        北京优尔博特创新科技有限公司        15001-20000
2137:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
2138:软件开发工程师        北京天元特通科技有限公司        10001-15000
2139:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
2140:软件销售        厦门安妮股份有限公司        8001-10000
2141:软件工程师        北京慧清科技有限公司        12000-20000
2142:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2143:软件开发项目经理        北京店帮科技有限公司        10001-15000
2144:软件工程师        北京起鹏科技发展有限公司        10001-15000
2145:软件工程师        北京兆维科技开发有限公司        10000-20000
2146:软件测试工程师        北京万里红科技股份有限公司        5000-10000
2147:软件工程师        北京泰和利通科技有限公司        10000-20000
2148:软件工程师        北京医模科技股份有限公司        10001-15000
2149:软件项目经理        北京双旗世纪科技有限公司        15001-20000
2150:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
2151:软件开发工程师        北京固鸿科技有限公司        10000-20000
2152:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
2153:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
2154:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
2155:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
2156:软件开发工程师        北京万里红科技股份有限公司        6000-12000
2157:软件区域销售        北京华思维信息技术有限公司        5000-10000
2158:软件工程师        北京安怀信科技股份有限公司        10001-15000
2159:软件工程师        沈阳东软医疗系统有限公司        15001-20000
2160:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
2161:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2162:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
2163:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
2164:中国采招网        4001-6000
2165:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
2166:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
2167:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
2168:软件工程师        北京华开领航科技有限责任公司        15000-20000
2169:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
2170:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
2171:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
2172:软件工程师        北京华开领航科技有限责任公司        10000-15000
2173:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
2174:软件开发工程师        北京北变微电网技术有限公司        7000-9000
2175:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
2176:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
2177:软件测试工程师        北京万里红科技股份有限公司        6000-12000
2178:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
2179:软件工程师        北京慧清科技有限公司        12000-20000
2180:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
2181:软件工程师        北京优尔博特创新科技有限公司        15001-20000
2182:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
2183:软件开发工程师        北京天元特通科技有限公司        10001-15000
2184:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
2185:软件销售        厦门安妮股份有限公司        8001-10000
2186:软件工程师        北京慧清科技有限公司        12000-20000
2187:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2188:软件开发项目经理        北京店帮科技有限公司        10001-15000
2189:软件工程师        北京起鹏科技发展有限公司        10001-15000
2190:软件工程师        北京兆维科技开发有限公司        10000-20000
2191:软件测试工程师        北京万里红科技股份有限公司        5000-10000
2192:软件工程师        北京泰和利通科技有限公司        10000-20000
2193:软件工程师        北京医模科技股份有限公司        10001-15000
2194:软件项目经理        北京双旗世纪科技有限公司        15001-20000
2195:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
2196:软件开发工程师        北京固鸿科技有限公司        10000-20000
2197:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
2198:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
2199:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
2200:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
2201:软件开发工程师        北京万里红科技股份有限公司        6000-12000
2202:软件区域销售        北京华思维信息技术有限公司        5000-10000
2203:软件工程师        北京安怀信科技股份有限公司        10001-15000
2204:软件工程师        沈阳东软医疗系统有限公司        15001-20000
2205:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
2206:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2207:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
2208:软件工程师        北京辉大科技发展有限公司        8000-16000
2209:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
2210:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
2211:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
2212:软件销售经理        北京可维创业科技有限公司        6000-12000
2213:软件测试工程师        北京华夏电通科技有限公司        8000-15000
2214:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
2215:软件客户代表        北京世纪兆元科技有限公司        10001-15000
2216:软件销售        挚友诚达科技(北京)有限公司        6001-8000
2217:软件工程师        北京汇金科技有限责任公司        9000-13000
2218:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
2219:软件工程师        北京远大创新科技有限公司        8000-12000
2220:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
2221:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
2222:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2223:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
2224:中国采招网        4001-6000
2225:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
2226:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
2227:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
2228:软件工程师        北京华开领航科技有限责任公司        15000-20000
2229:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
2230:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
2231:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
2232:软件工程师        北京华开领航科技有限责任公司        10000-15000
2233:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
2234:软件开发工程师        北京北变微电网技术有限公司        7000-9000
2235:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
2236:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
2237:软件测试工程师        北京万里红科技股份有限公司        6000-12000
2238:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
2239:软件工程师        北京慧清科技有限公司        12000-20000
2240:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
2241:软件工程师        北京优尔博特创新科技有限公司        15001-20000
2242:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
2243:软件开发工程师        北京天元特通科技有限公司        10001-15000
2244:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
2245:软件销售        厦门安妮股份有限公司        8001-10000
2246:软件工程师        北京慧清科技有限公司        12000-20000
2247:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2248:软件开发项目经理        北京店帮科技有限公司        10001-15000
2249:软件工程师        北京起鹏科技发展有限公司        10001-15000
2250:软件工程师        北京兆维科技开发有限公司        10000-20000
2251:软件测试工程师        北京万里红科技股份有限公司        5000-10000
2252:软件工程师        北京泰和利通科技有限公司        10000-20000
2253:软件工程师        北京医模科技股份有限公司        10001-15000
2254:软件项目经理        北京双旗世纪科技有限公司        15001-20000
2255:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
2256:软件开发工程师        北京固鸿科技有限公司        10000-20000
2257:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
2258:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
2259:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
2260:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
2261:软件开发工程师        北京万里红科技股份有限公司        6000-12000
2262:软件区域销售        北京华思维信息技术有限公司        5000-10000
2263:软件工程师        北京安怀信科技股份有限公司        10001-15000
2264:软件工程师        沈阳东软医疗系统有限公司        15001-20000
2265:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
2266:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2267:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
2268:软件工程师        北京辉大科技发展有限公司        8000-16000
2269:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
2270:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
2271:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
2272:软件销售经理        北京可维创业科技有限公司        6000-12000
2273:软件测试工程师        北京华夏电通科技有限公司        8000-15000
2274:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
2275:软件客户代表        北京世纪兆元科技有限公司        10001-15000
2276:软件销售        挚友诚达科技(北京)有限公司        6001-8000
2277:软件工程师        北京汇金科技有限责任公司        9000-13000
2278:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
2279:软件工程师        北京远大创新科技有限公司        8000-12000
2280:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
2281:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
2282:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2283:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
2284:中国采招网        4001-6000
2285:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
2286:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
2287:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
2288:软件工程师        北京华开领航科技有限责任公司        15000-20000
2289:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
2290:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
2291:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
2292:软件工程师        北京华开领航科技有限责任公司        10000-15000
2293:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
2294:软件开发工程师        北京北变微电网技术有限公司        7000-9000
2295:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
2296:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
2297:软件测试工程师        北京万里红科技股份有限公司        6000-12000
2298:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
2299:软件工程师        北京慧清科技有限公司        12000-20000
2300:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
2301:软件工程师        北京优尔博特创新科技有限公司        15001-20000
2302:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
2303:软件开发工程师        北京天元特通科技有限公司        10001-15000
2304:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
2305:软件销售        厦门安妮股份有限公司        8001-10000
2306:软件工程师        北京慧清科技有限公司        12000-20000
2307:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2308:软件开发项目经理        北京店帮科技有限公司        10001-15000
2309:软件工程师        北京起鹏科技发展有限公司        10001-15000
2310:软件工程师        北京兆维科技开发有限公司        10000-20000
2311:软件测试工程师        北京万里红科技股份有限公司        5000-10000
2312:软件工程师        北京泰和利通科技有限公司        10000-20000
2313:软件工程师        北京医模科技股份有限公司        10001-15000
2314:软件项目经理        北京双旗世纪科技有限公司        15001-20000
2315:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
2316:软件开发工程师        北京固鸿科技有限公司        10000-20000
2317:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
2318:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
2319:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
2320:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
2321:软件开发工程师        北京万里红科技股份有限公司        6000-12000
2322:软件区域销售        北京华思维信息技术有限公司        5000-10000
2323:软件工程师        北京安怀信科技股份有限公司        10001-15000
2324:软件工程师        沈阳东软医疗系统有限公司        15001-20000
2325:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
2326:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2327:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
2328:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
2329:中国采招网        4001-6000
2330:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
2331:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
2332:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
2333:软件工程师        北京华开领航科技有限责任公司        15000-20000
2334:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
2335:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
2336:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
2337:软件工程师        北京华开领航科技有限责任公司        10000-15000
2338:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
2339:软件开发工程师        北京北变微电网技术有限公司        7000-9000
2340:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
2341:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
2342:软件测试工程师        北京万里红科技股份有限公司        6000-12000
2343:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
2344:软件工程师        北京慧清科技有限公司        12000-20000
2345:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
2346:软件工程师        北京优尔博特创新科技有限公司        15001-20000
2347:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
2348:软件开发工程师        北京天元特通科技有限公司        10001-15000
2349:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
2350:软件销售        厦门安妮股份有限公司        8001-10000
2351:软件工程师        北京慧清科技有限公司        12000-20000
2352:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2353:软件开发项目经理        北京店帮科技有限公司        10001-15000
2354:软件工程师        北京起鹏科技发展有限公司        10001-15000
2355:软件工程师        北京兆维科技开发有限公司        10000-20000
2356:软件测试工程师        北京万里红科技股份有限公司        5000-10000
2357:软件工程师        北京泰和利通科技有限公司        10000-20000
2358:软件工程师        北京医模科技股份有限公司        10001-15000
2359:软件项目经理        北京双旗世纪科技有限公司        15001-20000
2360:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
2361:软件开发工程师        北京固鸿科技有限公司        10000-20000
2362:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
2363:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
2364:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
2365:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
2366:软件开发工程师        北京万里红科技股份有限公司        6000-12000
2367:软件区域销售        北京华思维信息技术有限公司        5000-10000
2368:软件工程师        北京安怀信科技股份有限公司        10001-15000
2369:软件工程师        沈阳东软医疗系统有限公司        15001-20000
2370:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
2371:软件工程师        北京华仪未来科技发展有限公司        10001-15000
2372:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
2373:软件工程师        北京辉大科技发展有限公司        8000-16000
